Client_ID,Client_Name,Group_ID,Center_Number,VS_ID,Active,Group,Current_Monthly_Budget,Metro_Area,State_Code,Google_Customer_ID,Adcenter_Account_ID,Active
1,Lars Marketing,,,CA6ph0odn9g93wDu,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2,Seattle,31,US297,CA6ph0pnK9FjggDC,Yes,Stempler,0,0,WA,3946101049,X1254751,Yes
3,Arlington (US110),13,US110,CA6phUtECd87iQD5,Yes,Fort Worth,1455,DFW,TX,4449099076,0,Yes
4,North Austin (US371),124,US371,CA6phUq-1rImBgC8,Yes,Austin - North,485,Austin,TX,7462459518,0,Yes
5,Austin/West Lake Hills (US629),125,US629,CA6phUrA8IwY2ABp,Yes,Austin - West,727,Austin,TX,7389281213,0,Yes
6,Bannockburn (US333),62,US333,CA6phEqDRAwYygE4,Yes,Bannockburn,290,Chicago,IL,6015417372,X0148215,Yes
7,"Billings, MT (US387)",2,US387,CA6phU-OjT9DNQCa,Yes,Billings,485,Billings,MT,6450613879,0,Yes
8,Bountiful (US088),100,US088,CA6phks3-wVIYQAE,Yes,Bountiful,350,Salt Lake City,UT,9030819421,0,Yes
9,Carrollton (US376),9,US376,CA6ph0tEBDUfvwLT,Yes,Dallas,3366,0,TX,2294654380,0,Yes
10,"Cherry Hill, NJ (US242)",5,US242,CA6phktThZsNMACC,Yes,"Cherry Hill, NJ",653,0,NJ,9942987272,0,Yes
11,Concord (US271),44,US271,CA6ph0t16NoLZQAC,Yes,Concord,485,Boston,MA,3540553225,0,Yes
12,Dallas (US002),9,US002,CA6phUtD-ScytgD6,Yes,Dallas,3366,0,TX,2294654380,0,Yes
13,Dallas (US152),9,US152,CA6phUtEBhY1FQEL,Yes,Dallas,3366,0,TX,2294654380,0,Yes
14,"Danbury, CT (US273)",40,US273,CA6ph0tTvrdG1gED,Yes,Danbury,500,0,CT,3037735621,0,Yes
15,Dayton (US281),50,US281,CA6phEtT6MVOyQEW,Yes,Dayton,0,Central Jersey,NJ,5118211474,0,No
16,Denton (US471),10,US471,CA6phktECtM58AEu,Yes,Denton,400,Dallas,TX,8082939076,0,Yes
17,Denver (US055),11,US055,CA6phkqcf9gLmAFU,Yes,Denver,2340,Denver,CO,5838823080,0,Yes
18,Des Plaines (US056),59,US056,CA6phEqDLO8SOADi,Yes,Des Plaines,300,Chicago,IL,3356861278,0,Yes
19,Draper (US550),27,US550,CA6phEs3A6o1ZAIH,Yes,Salt Lake City,2870,0,UT,3258565223,X0865673,Yes
20,Elk Grove Village (US385),64,US385,CA6phkqDSL8KLgDA,Yes,Elk Grove Village,175,Chicago,IL,9619926472,0,No
21,Carlsbad (US469),42,US469,CA6phkt19SpeLwB1,Yes,Carlsbad,485,San Diego,CA,9383754821,0,Yes
22,"Evansville, IN (US370)",12,US370,CA6phEqchK4rcAAZ,Yes,Evansville,200,Evansville,IN,5444386323,0,Yes
23,Ft Worth (US083),13,US083,CA6ph0tEB39sBwDD,Yes,Fort Worth,1455,DFW,TX,4449099076,0,Yes
24,Ft Worth (US544),13,US544,CA6phUtECTosFAEt,Yes,Fort Worth,1455,DFW,TX,4449099076,0,Yes
25,Greenwich (US162),29,US162,CA6ph0t0qpVbTADt,Yes,Southern CT,0,0,CT,2070482621,0,No
26,"Hartford, CT (US667)",47,US667,CA6ph04T0jk3DwDd,Yes,Hartford,290,Hartford,CT,5192471906,0,Yes
27,Hillsboro (US506),15,US506,CA6ph0rC2m8UGAFd,Yes,Hillsboro,630,Portland,OR,9469073127,0,Yes
28,"Hillsborough, NJ (US207)",49,US207,CA6phEtT6kYAKgI6,No,Hillsborough,0,Central Jersey,NJ,6250942221,0,No
